file_path,created_time,last_modified_time
./projects/05/ComputerRect-external.out,Thu May  2 00:22:05 2019,Thu May  2 00:22:05 2019
./projects/05/Max.hack,Fri Mar 29 23:49:48 2019,Fri Mar 11 23:29:30 2016
./projects/05/ComputerMax-external.out,Thu May  2 00:19:35 2019,Thu May  2 00:19:35 2019
./projects/05/ComputerMax.tst,Fri Mar 29 23:49:48 2019,Fri Mar 11 23:29:30 2016
./projects/05/Rect.hack,Fri Mar 29 23:49:48 2019,Fri Mar 11 23:29:30 2016
./projects/05/CPU.hdl,Wed May  1 19:48:00 2019,Wed May  1 19:48:00 2019
./projects/05/Memory.cmp,Fri Mar 29 23:49:48 2019,Fri Mar 11 23:29:30 2016
./projects/05/CPU.tst,Fri Mar 29 23:49:48 2019,Fri Mar 11 23:29:30 2016
./projects/05/ComputerRect-external.cmp,Fri Mar 29 23:49:48 2019,Fri Mar 11 23:29:30 2016
./projects/05/ComputerAdd-external.out,Thu May  2 00:19:17 2019,Thu May  2 00:19:17 2019
./projects/05/ComputerRect.out,Thu May  2 00:21:34 2019,Thu May  2 00:21:34 2019
./projects/05/ComputerAdd.out,Thu May  2 00:19:03 2019,Thu May  2 00:19:03 2019
./projects/05/ComputerAdd-external.cmp,Fri Mar 29 23:49:48 2019,Fri Mar 11 23:29:30 2016
./projects/05/CPU-external.tst,Fri Mar 29 23:49:48 2019,Fri Mar 11 23:29:30 2016
./projects/05/ComputerRect.cmp,Fri Mar 29 23:49:48 2019,Fri Mar 11 23:29:30 2016
./projects/05/ComputerAdd.cmp,Fri Mar 29 23:49:48 2019,Fri Mar 11 23:29:30 2016
./projects/02/HalfAdder.hdl,Sat Apr  6 23:47:02 2019,Sat Apr  6 23:47:02 2019
./projects/02/HalfAdder.tst,Fri Mar 29 23:49:48 2019,Fri Mar 11 23:29:30 2016
./projects/02/Add16.out,Sun Apr  7 00:27:39 2019,Sun Apr  7 00:27:39 2019
./projects/02/ALU.hdl,Sun Apr  7 19:27:22 2019,Sun Apr  7 19:27:22 2019
./projects/02/ALU.tst,Fri Mar 29 23:49:48 2019,Fri Mar 11 23:29:30 2016
./projects/02/Inc16.out,Sun Apr  7 01:36:17 2019,Sun Apr  7 01:36:17 2019
./projects/02/Inc16.cmp,Fri Mar 29 23:49:48 2019,Fri Mar 11 23:29:30 2016
./projects/02/Add16.cmp,Fri Mar 29 23:49:48 2019,Fri Mar 11 23:29:30 2016
./projects/02/FullAdder.cmp,Fri Mar 29 23:49:48 2019,Fri Mar 11 23:29:30 2016
./projects/02/ALU-nostat.tst,Fri Mar 29 23:49:48 2019,Fri Mar 11 23:29:30 2016
./projects/02/FullAdder.out,Sat Apr  6 23:56:51 2019,Sat Apr  6 23:56:51 2019
./projects/02/ALU-nostat.cmp,Fri Mar 29 23:49:48 2019,Fri Mar 11 23:29:30 2016
./projects/02/FullAdder.hdl,Sat Apr  6 23:56:26 2019,Sat Apr  6 23:56:26 2019
./projects/02/FullAdder.tst,Fri Mar 29 23:49:48 2019,Fri Mar 11 23:29:30 2016
./projects/02/ALU-nostat.out,Sun Apr  7 19:23:27 2019,Sun Apr  7 19:23:27 2019
./projects/02/ALU.cmp,Fri Mar 29 23:49:48 2019,Fri Mar 11 23:29:30 2016
./projects/02/HalfAdder.cmp,Fri Mar 29 23:49:48 2019,Fri Mar 11 23:29:30 2016
./projects/02/Inc16.hdl,Sun Apr  7 01:36:03 2019,Sun Apr  7 01:36:03 2019
./projects/02/Add16.tst,Fri Mar 29 23:49:48 2019,Fri Mar 11 23:29:30 2016
./projects/02/ALU.out,Sun Apr  7 19:28:07 2019,Sun Apr  7 19:28:07 2019
./projects/02/Add16.hdl,Sun Apr  7 00:27:24 2019,Sun Apr  7 00:27:24 2019
./projects/02/Inc16.tst,Fri Mar 29 23:49:48 2019,Fri Mar 11 23:29:30 2016
./projects/02/HalfAdder.out,Sat Apr  6 23:47:15 2019,Sat Apr  6 23:47:15 2019
